Open,High,Low,Close,Volume,MarketCap,Date
212.9069976807,215.2409973145,205.1529998779,211.3150024414,24051100,2904651464,"2015-01-20"
273.1669921875,275.4800109863,250.6529998779,263.4750061035,44399000,3627760927.5,"2015-01-27"
226.4909973145,242.1750030518,222.658996582,238.2290039063,30612100,3285797305.4,"2015-02-02"
227.6929931641,229.43800354,221.0769958496,223.4120025635,17145200,3086537315.4,"2015-02-08"
257.5069885254,265.6109924316,227.6840057373,234.8249969482,56552400,3250242178.12,"2015-02-15"
243.7519989014,255.3200073242,243.1840057373,244.533996582,12284200,3390372209.75,"2015-02-21"
253.5200042725,254.6920013428,249.4790039063,254.2630004883,13949300,3531776635.75,"2015-02-28"
275.6000061035,277.608001709,270.0150146484,272.7229919434,28918900,3794156466.38,"2015-03-06"
294.1180114746,294.4979858398,285.3370056152,285.3370056152,31421500,3976948638.32,"2015-03-13"
255.8800048828,264.2439880371,248.6360015869,260.9280090332,52732000,3642156964.8,"2015-03-19"
246.2760009766,254.3540039063,244.9049987793,248.5319976807,25730000,3475701380.1,"2015-03-26"
244.2230072021,247.5410003662,241.1600036621,247.2720031738,22877200,3463619267.4,"2015-04-01"
253.0639953613,253.8470001221,244.2149963379,245.0220031738,30086400,3438326344.95,"2015-04-08"
224.7590026855,224.9759979248,216.3229980469,219.158996582,31719000,3080098938.82,"2015-04-14"
222.6119995117,226.3509979248,221.9770050049,224.6260070801,18364700,3161599718.7,"2015-04-20"
219.4290008545,233.3049926758,218.0229949951,229.2859954834,38574000,3232938332.15,"2015-04-27"
234.8800048828,243.2400054932,234.0829925537,240.358001709,18494100,3394161416.45,"2015-05-03"
241.7290039063,244.0679931641,238.8489990234,240.296005249,15019100,3399245238.2,"2015-05-10"
237.6439971924,237.6970062256,235.2949981689,236.1529998779,11089700,3345969203.45,"2015-05-16"
240.2859954834,241.0249938965,238.6909942627,238.8719940186,14605000,3390435703.8,"2015-05-23"
237.3769989014,237.5220031738,235.7310028076,237.095993042,14805000,3370295930.4,"2015-05-29"
224.154006958,225.9680023193,223.1790008545,224.9519958496,18056500,3203220875.4,"2015-06-05"
228.8549957275,230.2870025635,228.766998291,229.7050018311,14416000,3276293900.25,"2015-06-11"
249.4279937744,252.108001709,244.1269989014,249.0070037842,30980200,3557986320.9,"2015-06-18"
244.2819976807,244.341003418,240.5149993896,240.5149993896,17344900,3441763637.12,"2015-06-24"
263.3450012207,265.1719970703,255.7740020752,258.6210021973,27029800,3707306172.9,"2015-07-01"
269.9630126953,271.341003418,264.8320007324,266.2070007324,28857600,3822200106,"2015-07-07"
310.8269958496,310.9479980469,281.0109863281,292.0539855957,62053900,4199736520,"2015-07-13"
273.4989929199,278.9809875488,272.9599914551,278.9809875488,22711400,4018965413.38,"2015-07-20"
